CALD1	NM_004342
CALM1	NM_006888
CALM2	NM_001305624
CALM3	NM_001329921
CAMK1D	NM_020397
CAMK2B	NM_001220
CAMK2D	NM_001221
CAMK4	NM_001323374
CAMLG	NM_001745
CAND1	NM_018448
CANT1	NM_001159772
CAP2	NM_006366
CAPN10	NM_023083
CAPN5	NM_004055
CAPRIN1	NM_005898
CAPRIN2	NM_001002259
CAPS2	NM_001286547
CAPZA2	NM_006136
CAPZB	NM_001206540
CARD10	NM_014550
CARHSP1	NM_001042476
CARS	NM_001014437
CASC3	NM_007359
CASC4	NM_138423
CASD1	NM_022900
CASP2	NM_001224
CASP3	NM_001354777
CASP4	NM_001225
CASP7	NM_001227
CASP8AP2	NM_001137667
CASP9	NM_001229
CAT	NM_001752
CATSPER1	NM_053054
CATSPER2	NM_001282309
CAV1	NM_001172895
CAV2	NM_001206747
CBFA2T2	NM_001032999
CBFB	NM_001755
CBLB	NM_001321786
CBLL1	NM_001284291
CBR1	NM_001286789
CBR3	NM_001236
CBR4	NM_032783
CBS	NM_000071
CBWD1	NM_001145355
CBWD2	NM_001330336
CBX1	NM_001127228
CBX2	NM_005189
CBX4	NM_003655
CBX6	NM_001303494
CBX7	NM_001346743
CBX8	NM_020649
CBY1	NM_001002880
CC2D1B	NM_032449
CCAR1	NM_001282959
CCDC112	NM_001040440
CCDC115	NM_001321118
CCDC117	NM_001284263
CCDC12	NM_001277074
CCDC124	NM_001136203
CCDC126	NM_138771
CCDC14	NM_001308317
CCDC144A	NM_014695
CCDC15	NM_025004
CCDC150	NM_001080539
CCDC27	NM_152492
CCDC28A	NM_015439
CCDC3	NM_001282658
CCDC34	NM_030771
CCDC42	NM_001158261
CCDC57	NM_001316321
CCDC6	NM_005436
CCDC62	NM_201435
CCDC69	NM_015621
CCDC7	NM_001026383
CCDC71	NM_022903
CCDC74A	NM_001258304
CCDC8	NM_032040
CCDC80	NM_199511
CCDC83	NM_001286159
CCDC88A	NM_001135597
CCDC88C	NM_001080414
CCDC9	NM_015603
CCDC90B	NM_001286116
CCDC93	NM_019044
CCDC97	NM_052848
CCM2	NM_001029835
CCNB1	NM_031966
CCNB1IP1	NM_021178
CCNB2	NM_004701
CCNC	NM_001013399
CCND1	NM_053056
CCND2	NM_001759
CCNE1	NM_001238
CCNG1	NM_004060
CCNG2	NM_004354
CCNH	NM_001199189
CCNI	NM_006835
CCNJ	NM_001134375
CCNJL	NM_001308173
CCNO	NM_021147
CCNT1	NM_001240
CCNT2	NM_001241
CCNYL1	NM_001142300
